individual_0;individual_1;individual_2;individual_3;individual_4;individual_5;individual_6;individual_7;individual_8;individual_9;individual_10;individual_11;individual_12;individual_13;individual_14;individual_15;individual_16;individual_17;individual_18;individual_19;individual_20;individual_21;individual_22;individual_23;individual_24;individual_25;individual_26;individual_27;individual_28;individual_29
26;26;26;29;27;27;27;28;29;26;26;26;26;26;26;26;26;26;26;29;26;26;26;26;26;26;29;26;26;26
26;29;26;26;29;29;26;29;26;26;28;30;26;26;32;26;26;26;26;26;32;26;26;32;26;26;29;29;26;26
28;28;26;26;26;26;29;28;26;26;26;28;26;26;26;26;26;26;32;29;28;27;26;26;26;29;29;26;26;26
29;26;26;26;26;26;26;26;26;29;27;28;26;26;30;28;29;26;26;26;26;29;26;26;28;27;32;26;28;27
30;28;26;29;30;28;26;26;29;26;26;26;26;26;26;29;29;26;28;29;29;29;26;26;27;28;26;26;26;26
29;26;26;29;28;27;26;29;26;26;29;26;26;26;32;29;29;26;29;26;26;29;26;29;28;29;26;32;29;28
26;26;29;26;29;26;27;28;26;26;26;26;26;26;30;28;26;26;26;26;26;26;29;26;26;26;26;26;26;26
26;26;27;28;26;32;29;29;26;26;31;30;26;26;26;26;26;26;26;26;29;26;26;29;26;26;26;26;27;28
29;29;26;26;26;26;26;26;26;29;29;26;29;29;29;26;26;29;26;29;27;28;29;26;27;28;26;26;28;28
26;29;26;29;29;26;26;26;29;26;27;28;26;26;26;26;26;26;26;26;26;26;28;27;26;26;28;27;29;29
28;27;26;26;26;26;26;29;29;31;26;26;26;26;67;29;26;26;29;26;26;29;28;27;29;26;28;27;29;26
26;29;29;26;26;28;26;29;26;29;32;26;26;26;27;28;29;29;26;26;28;27;29;26;26;26;29;26;26;26
26;29;27;26;26;26;26;26;26;26;29;26;29;27;26;26;29;26;26;29;26;26;27;28;29;26;26;26;27;28
26;29;27;26;26;26;29;26;27;26;26;26;26;26;29;32;26;26;26;26;29;26;29;26;26;26;26;26;26;26
26;26;26;26;26;26;29;26;26;26;26;26;29;29;26;26;29;32;26;29;26;26;26;26;26;26;27;29;28;27
29;26;27;26;26;26;26;26;26;27;29;29;26;26;26;26;26;26;26;26;26;26;26;26;29;26;32;26;26;28
26;29;26;26;29;26;26;26;26;26;26;29;26;26;26;26;29;26;26;26;28;27;26;26;26;29;32;26;26;26
29;26;26;26;26;27;26;26;28;26;26;26;26;26;26;26;26;26;26;27;29;26;29;26;28;27;26;26;26;26
26;27;29;29;26;29;26;26;26;26;26;26;29;26;30;29;26;29;28;28;28;27;26;27;26;26;28;27;26;26
28;27;29;26;26;26;26;26;26;29;27;28;26;26;29;26;26;26;26;28;26;29;29;26;26;26;26;26;26;27
26;26;27;26;26;26;26;26;26;26;26;26;26;26;26;26;27;31;26;29;27;26;26;26;26;26;29;29;26;26
26;26;26;26;26;26;29;29;26;26;29;26;26;26;27;27;26;26;29;32;26;26;26;26;29;26;26;26;26;27
26;26;26;26;26;28;26;26;26;26;29;26;26;26;26;26;28;27;26;26;31;30;26;26;26;26;27;28;26;26
26;26;26;26;26;29;26;26;26;26;26;29;27;28;26;29;26;26;26;26;26;27;26;26;26;32;26;26;26;26
26;26;27;27;26;26;27;31;28;26;29;26;29;26;26;26;26;29;27;28;26;26;26;26;27;26;26;26;26;26
28;27;26;29;29;26;26;26;26;32;26;27;26;26;29;29;26;27;26;26;26;27;26;26;29;29;26;29;26;29
28;27;26;29;29;26;26;26;26;26;26;26;26;26;26;26;29;29;26;26;26;26;30;28;26;26;26;26;26;26
26;26;26;26;28;27;26;26;29;27;26;26;26;29;29;29;31;27;26;26;29;26;29;26;27;28;26;26;26;29
29;26;27;28;26;26;27;28;26;26;26;26;26;26;28;27;26;26;26;26;26;27;26;26;26;26;26;26;26;26
28;27;26;26;27;26;26;26;26;26;27;28;31;30;29;26;26;26;26;26;26;27;26;26;26;26;26;26;26;26
26;26;26;26;26;26;28;26;26;26;26;26;26;26;26;26;26;26;26;29;32;29;29;26;26;28;29;26;26;26
26;26;29;26;28;27;26;26;26;26;26;26;26;26;26;26;29;26;26;26;27;28;29;29;26;26;26;26;26;26
26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;29;26;26;26;26;27;26;26
27;26;27;28;27;26;26;26;26;26;26;26;26;27;26;26;26;26;26;29;26;26;26;26;26;26;29;32;26;26
26;26;26;27;27;26;26;26;28;27;29;26;26;26;26;26;26;26;27;29;26;26;28;27;26;26;27;26;26;26
