individual_0;individual_1;individual_2;individual_3;individual_4;individual_5;individual_6;individual_7;individual_8;individual_9;individual_10;individual_11;individual_12;individual_13;individual_14;individual_15;individual_16;individual_17;individual_18;individual_19;individual_20;individual_21;individual_22;individual_23;individual_24;individual_25;individual_26;individual_27;individual_28;individual_29
81;80;80;81;81;80;80;80;80;80;80;80;80;80;80;80;80;80;80;81;80;80;80;80;80;80;81;80;80;81
80;80;81;80;80;80;80;81;80;80;80;80;80;80;80;80;80;80;80;81;80;80;80;80;80;80;80;80;80;80
81;81;80;80;81;80;81;81;80;80;80;81;80;80;80;80;81;80;81;81;80;80;80;80;80;81;80;80;80;80
80;81;80;80;80;80;81;80;80;80;80;80;80;80;80;80;80;82;80;80;80;80;80;81;80;80;80;80;80;80
80;80;80;80;80;80;80;80;80;80;80;81;80;80;80;80;80;80;81;80;80;80;80;80;80;82;80;80;80;80
80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;81;80;80;80;80;81;80;80;80;80;81
80;81;80;80;81;80;80;81;81;80;80;80;80;80;80;80;80;80;81;80;80;80;80;81;80;80;80;80;80;80
81;80;80;80;80;80;80;81;81;80;82;80;80;80;80;80;81;80;80;80;80;80;80;80;80;80;80;80;81;80
80;81;81;80;80;80;80;80;80;80;80;81;80;82;80;80;80;80;80;80;82;80;80;80;82;80;80;80;81;81
80;80;80;80;81;80;80;81;80;80;80;80;80;80;80;80;80;80;80;81;80;80;80;80;80;80;80;80;80;80
80;80;80;80;81;80;81;80;81;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80
80;80;80;81;81;80;80;80;80;80;80;80;80;81;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80
80;80;80;80;80;80;80;81;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80
80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;81;81;80;81;80;80;80;80;80
80;80;80;80;81;80;80;80;80;80;81;81;80;80;80;80;80;80;81;80;80;80;80;80;80;80;80;80;80;80
80;80;80;80;80;80;80;80;80;80;81;80;80;80;80;80;80;80;80;80;80;80;80;80;80;81;80;80;81;80
80;80;80;81;80;80;80;80;80;81;80;80;81;81;81;80;80;81;80;81;80;80;80;80;80;80;80;80;80;80
80;80;80;80;80;80;80;80;80;81;80;80;80;80;80;80;81;80;80;80;81;80;80;81;80;80;80;80;80;80
80;80;81;80;80;80;80;80;80;80;80;80;81;81;80;80;80;80;80;80;80;82;80;80;80;80;80;80;80;80
80;80;80;80;80;80;81;80;80;81;80;80;80;80;80;80;80;80;81;81;81;80;80;80;80;80;80;80;80;80
80;80;81;80;80;80;80;80;80;80;80;80;80;80;81;80;80;80;80;80;81;80;80;80;80;80;80;80;80;80
